User Query,Intent,Locations,Dates,Recommendation
"User is looking for hotel booking in Chennai, Chennai.",hotel_booking,"Chennai, Chennai",2024-11-27,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Pune.",travel_advisory,"Hyderabad, Pune",2024-03-11,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Kolkata.",travel_advisory,"Pune, Kolkata",2024-07-12,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Pune.",flight_booking,"Jaipur, Pune",2024-12-07,No specific recommendation for this route.
"User is looking for car rental in Pune, Kolkata.",car_rental,"Pune, Kolkata",2024-02-04,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Bangalore.",travel_advisory,"Chennai, Bangalore",2024-09-28,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Chennai.",hotel_booking,"Bangalore, Chennai",2024-04-04,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Chennai.",car_rental,"Mumbai, Chennai",2024-08-16,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Pune.",flight_booking,"Delhi, Pune",2024-06-05,No specific recommendation for this route.
"User is looking for car rental in Delhi, Pune.",car_rental,"Delhi, Pune",2024-07-18,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-10-21,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Chennai.",flight_booking,"Chennai, Chennai",2024-03-01,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Jaipur.",flight_booking,"Jaipur, Jaipur",2024-10-07,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Hyderabad.",flight_booking,"Kolkata, Hyderabad",2024-10-13,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Hyderabad.",flight_booking,"Jaipur, Hyderabad",2024-10-24,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Jaipur.",travel_advisory,"Bangalore, Jaipur",2024-04-15,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-04-17,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Pune.",flight_booking,"Delhi, Pune",2024-06-01,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Hyderabad.",flight_booking,"Chennai, Hyderabad",2024-09-24,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Mumbai.",hotel_booking,"Pune, Mumbai",2024-07-25,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Jaipur.",flight_booking,"Hyderabad, Jaipur",2024-10-23,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Bangalore.",flight_booking,"Bangalore, Bangalore",2024-07-22,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Jaipur.",flight_booking,"Mumbai, Jaipur",2024-02-28,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Chennai.",travel_advisory,"Delhi, Chennai",2024-03-07,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Mumbai.",hotel_booking,"Delhi, Mumbai",2024-07-12,Upgrade your stay in Mumbai to a 5-star hotel with rooftop dining. Enjoy the views of the Arabian Sea at the Taj Mahal Palace.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-09-06,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Jaipur.",flight_booking,"Mumbai, Jaipur",2024-08-24,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Chennai.",flight_booking,"Jaipur, Chennai",2024-12-17,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Kolkata.",travel_advisory,"Delhi, Kolkata",2024-05-27,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Chennai.",car_rental,"Kolkata, Chennai",2024-05-04,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Kolkata.",hotel_booking,"Pune, Kolkata",2024-10-04,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Bangalore.",flight_booking,"Chennai, Bangalore",2024-07-11,No specific recommendation for this route.
"User is looking for car rental in Chennai, Bangalore.",car_rental,"Chennai, Bangalore",2024-06-03,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Mumbai.",flight_booking,"Mumbai, Mumbai",2024-01-25,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Mumbai.",travel_advisory,"Delhi, Mumbai",2024-11-26,Weather advisories suggest carrying umbrellas for monsoons in Delhi and Mumbai. Enjoy a cultural tour of Delhi or the Bollywood vibe of Mumbai.
"User is looking for travel advisory in Hyderabad, Delhi.",travel_advisory,"Hyderabad, Delhi",2024-12-11,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Kolkata.",flight_booking,"Chennai, Kolkata",2024-10-25,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Pune.",travel_advisory,"Hyderabad, Pune",2024-07-23,No specific recommendation for this route.
"User is looking for car rental in Chennai, Pune.",car_rental,"Chennai, Pune",2024-09-24,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Bangalore.",hotel_booking,"Bangalore, Bangalore",2024-05-21,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Jaipur.",travel_advisory,"Jaipur, Jaipur",2024-02-17,No specific recommendation for this route.
"User is looking for flight booking in Pune, Bangalore.",flight_booking,"Pune, Bangalore",2024-10-15,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Hyderabad.",travel_advisory,"Pune, Hyderabad",2024-01-27,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Kolkata.",car_rental,"Mumbai, Kolkata",2024-10-18,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Chennai.",flight_booking,"Delhi, Chennai",2024-01-06,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Mumbai.",hotel_booking,"Bangalore, Mumbai",2024-04-20,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Hyderabad.",travel_advisory,"Pune, Hyderabad",2024-11-20,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Hyderabad.",hotel_booking,"Hyderabad, Hyderabad",2024-05-27,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Kolkata.",hotel_booking,"Pune, Kolkata",2024-04-26,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Delhi.",travel_advisory,"Bangalore, Delhi",2024-12-10,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Pune.",travel_advisory,"Bangalore, Pune",2024-11-01,No specific recommendation for this route.
"User is looking for car rental in Chennai, Delhi.",car_rental,"Chennai, Delhi",2024-03-21,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Pune.",travel_advisory,"Hyderabad, Pune",2024-02-10,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Chennai.",car_rental,"Mumbai, Chennai",2024-08-12,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Kolkata.",car_rental,"Mumbai, Kolkata",2024-01-20,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Mumbai.",car_rental,"Bangalore, Mumbai",2024-09-04,No specific recommendation for this route.
"User is looking for car rental in Delhi, Kolkata.",car_rental,"Delhi, Kolkata",2024-02-23,No specific recommendation for this route.
"User is looking for car rental in Chennai, Jaipur.",car_rental,"Chennai, Jaipur",2024-01-15,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Mumbai.",travel_advisory,"Bangalore, Mumbai",2024-05-11,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Bangalore.",flight_booking,"Mumbai, Bangalore",2024-04-12,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Bangalore.",travel_advisory,"Hyderabad, Bangalore",2024-12-03,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Delhi.",flight_booking,"Hyderabad, Delhi",2024-06-12,No specific recommendation for this route.
"User is looking for car rental in Pune, Pune.",car_rental,"Pune, Pune",2024-05-10,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-02-21,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Kolkata.",travel_advisory,"Delhi, Kolkata",2024-12-26,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Jaipur.",flight_booking,"Kolkata, Jaipur",2024-02-01,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Bangalore.",travel_advisory,"Kolkata, Bangalore",2024-12-18,No specific recommendation for this route.
"User is looking for flight booking in Pune, Delhi.",flight_booking,"Pune, Delhi",2024-01-18,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Mumbai.",travel_advisory,"Mumbai, Mumbai",2024-09-05,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Hyderabad.",flight_booking,"Delhi, Hyderabad",2024-09-06,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Chennai.",flight_booking,"Hyderabad, Chennai",2024-06-02,No specific recommendation for this route.
"User is looking for car rental in Delhi, Jaipur.",car_rental,"Delhi, Jaipur",2024-04-09,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Kolkata.",flight_booking,"Bangalore, Kolkata",2024-01-27,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Pune.",hotel_booking,"Mumbai, Pune",2024-05-19,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Delhi.",travel_advisory,"Kolkata, Delhi",2024-05-04,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Hyderabad.",hotel_booking,"Kolkata, Hyderabad",2024-02-02,No specific recommendation for this route.
"User is looking for car rental in Delhi, Chennai.",car_rental,"Delhi, Chennai",2024-08-25,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Delhi.",travel_advisory,"Kolkata, Delhi",2024-01-05,No specific recommendation for this route.
"User is looking for car rental in Pune, Delhi.",car_rental,"Pune, Delhi",2024-07-20,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Kolkata.",travel_advisory,"Chennai, Kolkata",2024-06-17,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Hyderabad.",hotel_booking,"Hyderabad, Hyderabad",2024-05-24,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Jaipur.",travel_advisory,"Bangalore, Jaipur",2024-05-05,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Kolkata.",hotel_booking,"Mumbai, Kolkata",2024-06-13,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Pune.",flight_booking,"Hyderabad, Pune",2024-11-22,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Delhi.",car_rental,"Kolkata, Delhi",2024-07-10,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Jaipur.",travel_advisory,"Bangalore, Jaipur",2024-12-25,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Delhi.",travel_advisory,"Bangalore, Delhi",2024-08-23,No specific recommendation for this route.
"User is looking for flight booking in Pune, Kolkata.",flight_booking,"Pune, Kolkata",2024-03-02,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Pune.",car_rental,"Bangalore, Pune",2024-03-27,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Mumbai.",hotel_booking,"Pune, Mumbai",2024-09-24,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Bangalore.",travel_advisory,"Hyderabad, Bangalore",2024-10-07,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Bangalore.",travel_advisory,"Hyderabad, Bangalore",2024-07-09,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Kolkata.",hotel_booking,"Mumbai, Kolkata",2024-07-23,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Hyderabad.",car_rental,"Jaipur, Hyderabad",2024-08-05,No specific recommendation for this route.
"User is looking for car rental in Chennai, Chennai.",car_rental,"Chennai, Chennai",2024-02-02,No specific recommendation for this route.
"User is looking for car rental in Pune, Jaipur.",car_rental,"Pune, Jaipur",2024-05-28,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Jaipur.",car_rental,"Mumbai, Jaipur",2024-05-22,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Bangalore.",hotel_booking,"Mumbai, Bangalore",2024-10-20,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Chennai.",car_rental,"Hyderabad, Chennai",2024-02-05,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Kolkata.",flight_booking,"Chennai, Kolkata",2024-12-08,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Delhi.",flight_booking,"Kolkata, Delhi",2024-12-26,No specific recommendation for this route.
"User is looking for car rental in Delhi, Delhi.",car_rental,"Delhi, Delhi",2024-01-17,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Hyderabad.",hotel_booking,"Kolkata, Hyderabad",2024-05-15,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Mumbai.",car_rental,"Hyderabad, Mumbai",2024-02-24,No specific recommendation for this route.
"User is looking for car rental in Chennai, Kolkata.",car_rental,"Chennai, Kolkata",2024-11-02,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Pune.",hotel_booking,"Chennai, Pune",2024-12-11,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Delhi.",hotel_booking,"Chennai, Delhi",2024-10-18,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Hyderabad.",car_rental,"Kolkata, Hyderabad",2024-04-18,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Jaipur.",hotel_booking,"Mumbai, Jaipur",2024-02-21,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Delhi.",car_rental,"Hyderabad, Delhi",2024-07-07,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Chennai.",travel_advisory,"Hyderabad, Chennai",2024-12-17,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Delhi.",hotel_booking,"Mumbai, Delhi",2024-04-09,No specific recommendation for this route.
"User is looking for car rental in Delhi, Delhi.",car_rental,"Delhi, Delhi",2024-11-01,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Delhi.",flight_booking,"Delhi, Delhi",2024-03-08,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Chennai.",flight_booking,"Bangalore, Chennai",2024-01-08,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Hyderabad.",travel_advisory,"Pune, Hyderabad",2024-12-05,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Mumbai.",flight_booking,"Hyderabad, Mumbai",2024-01-17,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Mumbai.",hotel_booking,"Jaipur, Mumbai",2024-11-02,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Kolkata.",travel_advisory,"Hyderabad, Kolkata",2024-04-12,No specific recommendation for this route.
"User is looking for car rental in Chennai, Pune.",car_rental,"Chennai, Pune",2024-08-11,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Mumbai.",flight_booking,"Hyderabad, Mumbai",2024-07-11,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Kolkata.",hotel_booking,"Pune, Kolkata",2024-09-04,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Jaipur.",hotel_booking,"Delhi, Jaipur",2024-01-24,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Jaipur.",travel_advisory,"Mumbai, Jaipur",2024-11-18,No specific recommendation for this route.
"User is looking for flight booking in Pune, Kolkata.",flight_booking,"Pune, Kolkata",2024-05-14,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Mumbai.",travel_advisory,"Chennai, Mumbai",2024-01-01,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Delhi.",car_rental,"Bangalore, Delhi",2024-04-24,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Jaipur.",hotel_booking,"Bangalore, Jaipur",2024-12-25,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Chennai.",travel_advisory,"Chennai, Chennai",2024-09-05,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Bangalore.",travel_advisory,"Jaipur, Bangalore",2024-01-23,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Chennai.",travel_advisory,"Hyderabad, Chennai",2024-12-15,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Delhi.",flight_booking,"Delhi, Delhi",2024-03-25,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Hyderabad.",flight_booking,"Chennai, Hyderabad",2024-02-18,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Bangalore.",flight_booking,"Chennai, Bangalore",2024-11-28,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Bangalore.",travel_advisory,"Chennai, Bangalore",2024-01-17,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Bangalore.",hotel_booking,"Jaipur, Bangalore",2024-11-27,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Pune.",travel_advisory,"Bangalore, Pune",2024-02-03,No specific recommendation for this route.
"User is looking for car rental in Delhi, Pune.",car_rental,"Delhi, Pune",2024-06-20,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Pune.",flight_booking,"Chennai, Pune",2024-08-16,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Kolkata.",hotel_booking,"Mumbai, Kolkata",2024-07-02,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Pune.",flight_booking,"Kolkata, Pune",2024-12-22,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Kolkata.",car_rental,"Jaipur, Kolkata",2024-08-07,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Mumbai.",hotel_booking,"Bangalore, Mumbai",2024-09-12,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Pune.",hotel_booking,"Chennai, Pune",2024-06-27,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Hyderabad.",hotel_booking,"Hyderabad, Hyderabad",2024-10-23,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Delhi.",flight_booking,"Hyderabad, Delhi",2024-11-02,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Pune.",hotel_booking,"Delhi, Pune",2024-09-10,No specific recommendation for this route.
"User is looking for car rental in Chennai, Chennai.",car_rental,"Chennai, Chennai",2024-01-10,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Bangalore.",car_rental,"Hyderabad, Bangalore",2024-05-12,No specific recommendation for this route.
"User is looking for car rental in Pune, Kolkata.",car_rental,"Pune, Kolkata",2024-10-19,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Chennai.",car_rental,"Bangalore, Chennai",2024-06-11,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Pune.",flight_booking,"Mumbai, Pune",2024-09-02,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Pune.",hotel_booking,"Delhi, Pune",2024-04-15,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Chennai.",hotel_booking,"Hyderabad, Chennai",2024-05-23,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Mumbai.",flight_booking,"Delhi, Mumbai",2024-07-05,We recommend exploring flights to Jaipur for a change! Explore the Amber Fort and City Palace.
"User is looking for travel advisory in Jaipur, Kolkata.",travel_advisory,"Jaipur, Kolkata",2024-11-15,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Mumbai.",flight_booking,"Bangalore, Mumbai",2024-01-19,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Mumbai.",hotel_booking,"Chennai, Mumbai",2024-12-18,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Chennai.",flight_booking,"Delhi, Chennai",2024-09-16,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Pune.",hotel_booking,"Mumbai, Pune",2024-08-15,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Mumbai.",travel_advisory,"Hyderabad, Mumbai",2024-10-02,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Hyderabad.",hotel_booking,"Delhi, Hyderabad",2024-09-14,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Mumbai.",hotel_booking,"Bangalore, Mumbai",2024-06-10,No specific recommendation for this route.
"User is looking for flight booking in Pune, Mumbai.",flight_booking,"Pune, Mumbai",2024-02-25,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Chennai.",car_rental,"Hyderabad, Chennai",2024-02-20,No specific recommendation for this route.
"User is looking for flight booking in Pune, Pune.",flight_booking,"Pune, Pune",2024-09-24,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Bangalore.",flight_booking,"Chennai, Bangalore",2024-06-23,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Mumbai.",hotel_booking,"Chennai, Mumbai",2024-09-24,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Bangalore.",hotel_booking,"Hyderabad, Bangalore",2024-06-12,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Bangalore.",travel_advisory,"Chennai, Bangalore",2024-11-17,No specific recommendation for this route.
"User is looking for hotel booking in Bangalore, Delhi.",hotel_booking,"Bangalore, Delhi",2024-07-18,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Bangalore.",flight_booking,"Kolkata, Bangalore",2024-04-07,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Delhi.",flight_booking,"Chennai, Delhi",2024-11-11,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Pune.",hotel_booking,"Jaipur, Pune",2024-08-17,No specific recommendation for this route.
"User is looking for hotel booking in Chennai, Kolkata.",hotel_booking,"Chennai, Kolkata",2024-11-01,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Mumbai.",flight_booking,"Mumbai, Mumbai",2024-05-05,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Kolkata.",hotel_booking,"Mumbai, Kolkata",2024-11-14,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Hyderabad.",travel_advisory,"Jaipur, Hyderabad",2024-02-10,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Jaipur.",hotel_booking,"Hyderabad, Jaipur",2024-04-25,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Mumbai.",flight_booking,"Delhi, Mumbai",2024-08-15,We recommend exploring flights to Jaipur for a change! Explore the Amber Fort and City Palace.
"User is looking for hotel booking in Bangalore, Bangalore.",hotel_booking,"Bangalore, Bangalore",2024-06-08,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Hyderabad.",car_rental,"Bangalore, Hyderabad",2024-05-20,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Hyderabad.",car_rental,"Hyderabad, Hyderabad",2024-05-20,No specific recommendation for this route.
"User is looking for flight booking in Hyderabad, Bangalore.",flight_booking,"Hyderabad, Bangalore",2024-12-06,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Jaipur.",hotel_booking,"Kolkata, Jaipur",2024-11-16,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Jaipur.",flight_booking,"Jaipur, Jaipur",2024-05-07,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Pune.",flight_booking,"Chennai, Pune",2024-09-22,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Chennai.",car_rental,"Kolkata, Chennai",2024-07-16,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Mumbai.",flight_booking,"Mumbai, Mumbai",2024-07-08,No specific recommendation for this route.
"User is looking for car rental in Pune, Chennai.",car_rental,"Pune, Chennai",2024-08-04,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Chennai.",hotel_booking,"Jaipur, Chennai",2024-04-13,No specific recommendation for this route.
"User is looking for car rental in Chennai, Chennai.",car_rental,"Chennai, Chennai",2024-03-03,No specific recommendation for this route.
"User is looking for car rental in Delhi, Jaipur.",car_rental,"Delhi, Jaipur",2024-04-24,No specific recommendation for this route.
"User is looking for flight booking in Chennai, Kolkata.",flight_booking,"Chennai, Kolkata",2024-03-26,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Chennai.",hotel_booking,"Hyderabad, Chennai",2024-04-17,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Pune.",hotel_booking,"Delhi, Pune",2024-11-28,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Pune.",flight_booking,"Kolkata, Pune",2024-12-22,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Kolkata.",travel_advisory,"Delhi, Kolkata",2024-06-28,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Chennai.",flight_booking,"Delhi, Chennai",2024-06-17,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Kolkata.",travel_advisory,"Delhi, Kolkata",2024-07-06,No specific recommendation for this route.
"User is looking for hotel booking in Jaipur, Jaipur.",hotel_booking,"Jaipur, Jaipur",2024-03-17,No specific recommendation for this route.
"User is looking for car rental in Bangalore, Mumbai.",car_rental,"Bangalore, Mumbai",2024-03-17,No specific recommendation for this route.
"User is looking for travel advisory in Kolkata, Kolkata.",travel_advisory,"Kolkata, Kolkata",2024-03-20,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Jaipur.",hotel_booking,"Delhi, Jaipur",2024-11-22,No specific recommendation for this route.
"User is looking for car rental in Chennai, Pune.",car_rental,"Chennai, Pune",2024-09-24,No specific recommendation for this route.
"User is looking for flight booking in Pune, Kolkata.",flight_booking,"Pune, Kolkata",2024-02-09,No specific recommendation for this route.
"User is looking for car rental in Mumbai, Hyderabad.",car_rental,"Mumbai, Hyderabad",2024-03-14,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Bangalore.",hotel_booking,"Delhi, Bangalore",2024-11-07,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Chennai.",hotel_booking,"Mumbai, Chennai",2024-07-19,No specific recommendation for this route.
"User is looking for car rental in Jaipur, Bangalore.",car_rental,"Jaipur, Bangalore",2024-08-14,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Delhi.",car_rental,"Hyderabad, Delhi",2024-11-17,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Delhi.",travel_advisory,"Mumbai, Delhi",2024-09-22,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Mumbai.",travel_advisory,"Jaipur, Mumbai",2024-05-04,No specific recommendation for this route.
"User is looking for travel advisory in Hyderabad, Hyderabad.",travel_advisory,"Hyderabad, Hyderabad",2024-01-13,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Chennai.",flight_booking,"Mumbai, Chennai",2024-08-06,No specific recommendation for this route.
"User is looking for flight booking in Delhi, Mumbai.",flight_booking,"Delhi, Mumbai",2024-03-28,We recommend exploring flights to Jaipur for a change! Explore the Amber Fort and City Palace.
"User is looking for travel advisory in Jaipur, Pune.",travel_advisory,"Jaipur, Pune",2024-08-28,No specific recommendation for this route.
"User is looking for car rental in Chennai, Kolkata.",car_rental,"Chennai, Kolkata",2024-09-17,No specific recommendation for this route.
"User is looking for flight booking in Mumbai, Chennai.",flight_booking,"Mumbai, Chennai",2024-11-25,No specific recommendation for this route.
"User is looking for car rental in Hyderabad, Delhi.",car_rental,"Hyderabad, Delhi",2024-03-23,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Chennai.",hotel_booking,"Mumbai, Chennai",2024-04-15,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-02-14,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Pune.",flight_booking,"Bangalore, Pune",2024-12-03,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Bangalore.",flight_booking,"Bangalore, Bangalore",2024-04-16,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Pune.",flight_booking,"Kolkata, Pune",2024-05-05,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Delhi.",flight_booking,"Bangalore, Delhi",2024-04-05,No specific recommendation for this route.
